surname of groom,GROOM_FATHER_IDENTITY,if bride's father deceased,month,marital status of groom,BRIDE_IDENTITY,if bride's mother deceased,GROOM_IDENTITY,bride's mother's forename,year,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,address of groom,groom's father's surname,groom's mother's maiden surname,bride's father's surname,day,if groom's father deceased,surname of bride,gdeath,notes1,address of bride,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY,if groom's mother deceased,BRIDE_FATHER_IDENTITY,age of groom,groom's mother's forename,age of bride,occupation of groom,bride's father's forename,groom's father's occupation,forename of groom,GROOM_FATHER_BIRTH_RECORD_IDENTITY,ID,bride's father's occupation,groom's father's forename,bride's mother's maiden surname,bdeath,forename of bride,GROOM_MOTHER_IDENTITY,place of marriage,BRIDE_BIRTH_RECORD_IDENTITY,occupation of bride,marital status of bride,BRIDE_MOTHER_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY
Soto,3843,,APRIL,B,5150,,4843,Mary,1943,4843,4263,"1 Glen Finglas Road, Stirling",Soto,Kobayashi,Garcia,18,,Garcia,4843,SYNTHETIC DATA PRODUCED USING VALIPOP,"1591 Castle Road, South Ayrshire",4288,,4263,27,Clara,19,PLOWMAN,James,FARMER OF 105 ACRES,Charles,3843,1658,COAL MINER,Angus,Bonik,5150,Janet,4144,Crail Fife,5150,SCH,S,4288,4144
Spiteri,5869,,OCTOBER,B,5142,,5870,Sophie,1943,5870,4095,"1 Broomfield Crescent, Corstorphine, City of Edinburgh",Spiteri,Balodis,Wozniak,1,,Wozniak,5870,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Leideag, Na h-Eileanan Siar",4276,,4095,27,Mary Grace,18, ,William, ,Luke,5869,1659,SHOE MAKER,Mathias,Ilves,5142,Elizabeth,5867,Falkirk,5142,SCHOLAR,S,4276,5867
Perez,5510,,MAY,B,5152,,5514,Elizabeth,1943,5514,4165,"1 Balloch, Highland",Perez,Jensen,Andersson,23,,Andersson,5514,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Allanbank, Lauder, Scottish Borders",4314,,4165,23,Francisca,19,MINER,Alexander,POLICE CONSTABLE,Takumi,5510,1660,PLOUGHMAN,Michael,Santana,5152,Jane,5511,Highland,5152,SCHOLAR,S,4314,5511
Demir,4141,,AUGUST,B,5563,,5019,Sofie,1943,5019,5558,"1 Rowan Road, Soroba, Oban",Demir,Bouchard,Jansen,22,,Jansen,5019,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Langside Court, Kirkfield, Bothwell",5559,,5558,23,Julia,18,AP GARDNENER,Alejandro,LABOURER,Alexander,4141,1661,COTTON WEAVER,Conor,Becker,5563,Maria,3885,North Ayrshire,5563,SCHOLAR,S,5559,3885
Hernandez,3933,,DECEMBER,B,5218,,4813,Nanami,1943,4813,4885,"2 Old St. Andrews Road, Rummond, Fife",Hernandez,Kiss,Kuznetsov,3,,Kuznetsov,4813,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Old St. Andrews Road, Rummond, Fife",5040,,4885,32,Catherine,22,LINEN WAREHOUSEMAN,Alexander,SHIP CARPENTER,Thomas,3933,1662,WEAVER,Thomas,Schmid,5218,Margaret,3944,,5218,FLAX SPINNER,S,5040,3944
Hernandez,4813,,JULY,B,6122,,6015,Eliza,1970,6015,5299,"2 Old St. Andrews Road, Rummond, Fife",Hernandez,Kuznetsov,Larsson,13,,Larsson,6015,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Calderpark Road, Baillieston, Glasgow City",4980,,5299,22,Margaret,20,COAL PIT ENGINE KEEPER,Hugh,SHOEMAKER,John,4813,2057,COAL MINER,Thomas,Huseynov,6122,Mary,5218,Stirling,6122,SCHOLAR,S,4980,5218
Szabo,2236,,MAY,W,2602,,2238,Jane,1861,2238,1799,"1 Langlands Bank, Wilton, Hawick",Szabo,Mulder,Larsson,14,,Larsson,2238,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Douglas Gardens, Annan, Dumfries and Galloway",1942,,1799,39,Irem,18,JOINER,Daniel,WOOLLEN WEAVER,Tomas,2236,841,A B SEAMAN,Nicholas,WILLIAMS,2602,Ann,2237,Stranraer Dumfries and Galloway,2602,SCHOLAR,S,1942,2237
Krajnk,4476,,9,B,5350,D,5073,Elizabeth,1943,5073,4403,"254 Golf Course Road, Girvan, South Ayrshire",Krajnc,Mohamed,Larsson,JANUARY,,Larsson,5073,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Cora Linn Court, North Ayrshire",4318,,4403,21,Sarah,16,WEAVER (JOUR),William, ,Henry,4476,1663,HOUSE PAINTER (MASTER),Jorge,Dumitru,5350,Helen,4286,Glenburn Hall Jedburgh ,5350,SCHOLAR,S,4318,4286
Santana,3811,,NOVEMBER,W,4784,,3816,Martha,1944,3816,4095,"1 Common Road, Cellardyke, Fife",Santana,Santos,Wozniak,11,,Wozniak,3816,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Common Road, Cellardyke, Fife",4096,,4095,73,Irena,34,FORMERLY FISHERMAN NOW PAUPER,William,FARMER OF 17 ACRES,Joshua,3811,1667,SHOE MAKER,Connor,Larsson,4784,Sarah,3812,,4784, ,S,4096,3812
Prochazka,4185,,JULY,B,4936,,5209,Christina,1944,5209,4824,"1 Robertson Way, Braeleny Farm, Stirling",Prochazka,Varga,Andersson,7,,Andersson,5209,SYNTHETIC DATA PRODUCED USING VALIPOP,"1160 Pier Road, Highland",3876,,4824,18,Margaret,26, ,Noah,FLESHER,John,4185,1669,(AG) LABOURER & WHITEWASHER OF HOUSES,Archibald,Soto,4936,Margt,4192,Highland,4936,HAND LOOM COTTON WEAVER,S,3876,4192
Petrov,5949,,DECEMBER,B,4942,,5954,Mary,1944,5954,3799,"1 Beechwood Crescent, Greenhead, Wishaw",Petrov,,Prochazka,25,,Prochazka,5954,SYNTHETIC DATA PRODUCED USING VALIPOP,"4 Common Road, Cellardyke, Fife",3998,,3799,26,Irem,25, ,Robert, ,Vojtech,5949,1670,SHOEMAKER & CHELSEA PENSIONER,Arttu,Novak,4942,Jane,5950,Hillpark Bannockburn ,4942,WASHER WOMAN,S,3998,5950
Watanabe,4155,,FEBRUARY,B,5180,,5149,Jane,1944,5149,4089,"1589 Castle Road, South Ayrshire",Watanabe,Smith,Anderson,9,,Anderson,5149,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Kerse Avenue, North Ayrshire",4182,,4089,20,Margaret,19,SCHOLAR,Robert,MINISTER OF ALVA FREE CHURCH,Alexander,4155,1672,SPIRIT DEALER & GROCER,James,Mohamed,5180,Joan,4262,Scaurs Jedburgh ,5180,SCHOLAR,S,4182,4262
Grigoryan,4725,,MAY,B,5184,,5055,Sarah,1944,5055,4476,"3 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",Grigoryan,Kovacevic,Krajnc,17,,Krajnc,5055,SYNTHETIC DATA PRODUCED USING VALIPOP,"254 Golf Course Road, Girvan, South Ayrshire",4286,,4476,20,Hellen,17,PLOUGHMAN,Jorge,SHOEMAKER,James,4725,1673, ,Yusuf,Mohamed,5184,Margaret,3972,Scottish Borders,5184,COTTON FACTORY WORKER,S,4286,3972
Sanchez,4109,,JANUARY,B,5266,,5013,Manon,1944,5013,3969,"38 Raonmor, Highland",Sanchez,Zarins,Szabo,2,,Szabo,5013,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Prestonfield Road, Annan, Dumfries and Galloway",4721,,3969,22,Alicia,16,AGR LABOURER,Alfred,SHOEMAKER,George,4109,1675,CARTER,Elias,Grigoryan,5266,Margaret,3656,Stranraer Dumfries and Galloway,5266,SCHOLAR,S,4721,3656
Larsson,4403,,SEPTEMBER,B,5288,,5261,Catherine,1944,5261,4011,"2 Cora Linn Court, North Ayrshire",Larsson,Dumitru,Santos,19,,Santos,5261,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Meadows Place, Lochgilphead, Argyll and Bute",4026,,4011,17,Elizabeth,16,APPRENTICE IRON MOULDER,Louis,HOUSE PAINTER (MASTER),Thomas,4403,1676,RAILWAY LABOURER,William,Prochazka,5288,Elizabeth,4318,Denbeath Buckhaven ,5288, ,S,4026,4318
Dumitru,4225,,JULY,B,5296,,5205,Marie,1944,5205,4117,"2 Ailsa Place, Girvan, South Ayrshire",Dumitru,Larsson,Larsson,21,,Larsson,5205,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Heatherfield Post Office Road, Portree, Highland",4440,,4117,18,Marion,16, ,William,STONE DYKER,John,4225,1677,RETIRED MERCHT,Robert,Morales,5296,Isabella,4132,Scottish Borders,5296,SCHOLAR,S,4440,4132
Prochazka,4185,,NOVEMBER,?,5298,,5209,Elizabeth,1944,5209,4165,"79 Bank Street, Highland",Prochazka,Varga,Andersson,2,,Andersson,5209,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Cearcall Dhunmhor, Na h-Eileanan Siar",4314,,4165,21,Margaret,19,PLOUGHMAN,Alexander,HOUSE KEEPER,John,4185,1678,LANDED PROPRIETOR,Archibald,Santana,5298,Grace,4192,,5298,WINDER OF YARN,S,4314,4192
Fernandez,1443,,NOVEMBER,B,2342,,2501,Eliza,1862,2501,1817,"2 Wooden, Scottish Borders",Fernandez,Schroeder,WILLIAMS,6,,WILLIAMS,2501,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Berry Place, Northbank Farm Steadings, Fife",1876,,1817,22,Ann,29,APPRENTICE GARDENER,John,TAILOR,Alexander,1443,845,FARMER'S SON,Alexander,Abdullayev,2342,Isa,1626,Braeleny Farm Callander ,2342,GENL SERVT,S,1876,1626
Wozniak,3947,,JULY,B,5285,,5059,Marie,1944,5059,3321,"16 Gorse Circle, Heatherknowe, Aberdeenshire",Wozniak,Anderson,Larsson,7,,Larsson,5059,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Ceann An Ora, Na h-Eileanan Siar",4107,,3321,21,Ruth,16,SQUARE WRIGHT,James,BLACKSMITH,Richard,3947,1679,STARCH MAKER,George,Sanchez,5285,Cath,4032,Broadsea Fraserburgh ,5285,SCHOLAR,S,4107,4032
Szabo,3941,,APRIL,B,5074,,4671,Mary,1945,4671,4119,"1 Northriggs, Manse, Scottish Borders",Szabo,Santos,Mohamed,23,,Mohamed,4671,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Knockhall Road, Aberdeenshire",4332,,4119,35,Anna,24,SHEPHERD,James,JOINER,Alexander,3941,1687,CARTER,James,Andersson,5074,Flora,4010,Highland,5074,DOM SERV,D,4332,4010
Larsson,4403,,DECEMBER,B,5606,,5151,Ivana,1945,5151,5604,"2 Cora Linn Court, North Ayrshire",Larsson,Dumitru,Danielsen,29,,Danielsen,5151,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Conval Drive, Aberlour, Moray",5605,,5604,21,Elizabeth,18,PLUMBER,Tobias,HOUSE PAINTER (MASTER),Stephen,4403,1688, ,William,,5606,Katrin,4318,Monksford House Scottish Borders,5606,SCHOLAR,S,5605,4318
Wozniak,4095,,JULY,B,5260,,5203,Sarah,1945,5203,4476,"2 Leideag, Na h-Eileanan Siar",Wozniak,Ilves,Krajnc,21,,Krajnc,5203,SYNTHETIC DATA PRODUCED USING VALIPOP,"254 Golf Course Road, Girvan, South Ayrshire",4286,,4476,18,Sophie,17,SCHOLAR,Jorge,SHOE MAKER,Andw,4095,1689, ,William,Mohamed,5260,Elizabeth,4276,Galalaw Scottish Borders,5260, ,S,4286,4276
Szabo,3969,,OCTOBER,B,5403,,5265,Aada,1945,5265,5401,"2 Prestonfield Road, Annan, Dumfries and Galloway",Szabo,Grigoryan,Ramirez,16,,Ramirez,5265,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Craiglockhart Gardens, Craiglockhart, City of Edinburgh",5402,,5401,19,Manon,16,SCHOLAR,Jack,CARTER,Peter,3969,1690,COAL MINER,Alfred,Robinson,5403,Sara,4721,Dumfries and Galloway,5403,SCHOLAR,S,5402,4721
Harris,4357,,MARCH,B,5378,,5267,Mary,1945,5267,4263,"1 Glen Gardens, Braeleny Farm, Callander",Harris,Tran,Garcia,17,,Garcia,5267,SYNTHETIC DATA PRODUCED USING VALIPOP,"1591 Castle Road, South Ayrshire",4288,,4263,18,Lea,16,SCHOLAR,James,LABOURER,Angus,4357,1691,COAL MINER,Edward,Bonik,5378,Agnes,4582,Fife,5378,SCHOLAR,S,4288,4582
Savic,5432,,JANUARY,B,4810,,5438,Janet,1946,5438,3915,"480 Braal Castle Road, Caithness",Savic,de Boer,Sanchez,17,,Sanchez,5438,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Gemmell Crescent, Braehead, Ayr",3836,,3915,24,Laura,30,SPIRIT DEALER,Matthew,FARMER OF 80 ACRES,Leon,5432,1700,COTTON WEAVER,Peter,Sepp,4810,Margaret,5433,Manse Scottish Borders,4810,DRESSMAKER,S,3836,5433
Jones,3899,,JANUARY,B,5364,,4811,Anna,1946,4811,5356,"1 Meikleholm, Langholm, Dumfries and Galloway",Jones,Harris,Gauthier,14,,Gauthier,4811,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Dee Terrace, Little Earnock, South Lanarkshire",5357,,5356,29,Irena,29,PLOUGHMAN,Aaron,FARM SERV,George,3899,1701,IRON DRESSER,Sam,Dimitrov,5364,Mojca,4347,Abbotsmeadow Melrose ,5364,DOMESTIC SERV,S,5357,4347
Grigoryan,4725,,NOVEMBER,?,5022,,5055,Mary,1946,5055,3973,"1 Union Street, Scottish Borders",Grigoryan,Kovacevic,Maisuradze,19,,Maisuradze,5055,SYNTHETIC DATA PRODUCED USING VALIPOP,"258 Golf Course Road, Girvan, South Ayrshire",3942,,3973,30,Hellen,31,PLOUGHMAN,Angus,CARTER,James,4725,1702,BLACKSMITH EMPLOYING 2 MEN 4 BOYS & A CLERK,Yusuf,Soto,5022,Cathne,3972,,5022,GENERAL SERVANT,S,3942,3972
Grigoryan,4725,,OCTOBER,B,5132,,4977,Ana,1946,4977,4751,"3 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",Grigoryan,Kovacevic,Markovic,31,,Markovic,4977,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Broom Road, Inverclyde",4752,,4751,26,Hellen,21,WRIGHT,Ren,SHOEMAKER,Thomas,4725,1704,BUTCHER (MASTER),Yusuf,Abdullayev,5132,Mary,3972,Coplandhill Aberdeenshire,5132,WOOL WINDER,S,4752,3972
Larsson,1859,,JUNE,B,2752,,2639,Nahia,1862,2639,2747,"1 Millbank Road, Stranraer, Dumfries and Galloway",Larsson,Muratovic,Flores,6,,Flores,2639,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Altyre Avenue, Pitteuchar, Glenrothes",2748,,2747,17,Merve,24, ,Tyler,BOOKSELLER,George,1859,846,CROFTER,David,Dang,2752,Ana,2486,Braeleny Farm Stirling,2752,DRESSMAKER,S,2748,2486
Garcia,4263,,JULY,B,5138,,5071,Maria,1946,5071,4345,"1591 Castle Road, South Ayrshire",Garcia,Bonik,Harris,31,,Harris,5071,SYNTHETIC DATA PRODUCED USING VALIPOP,"105 Glen Gardens, Braeleny Farm, Callander",4373,,4345,24,Mary,22,CARTER AT IRON WORKS,Filip,COAL MINER,John,4263,1705,AG LAB,James,Williams,5138,Jessie,4288,Crail Fife,5138,DOMESTIC SERVT,S,4373,4288
de Boer,4057,?,MARCH,B,5128,,5037,Mary,1946,5037,3613,"3 Milton Wynd, South Ayrshire",de Boer,Wozniak,Rossi,3,,Mary,5037,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Milton Wynd, South Ayrshire",3796,,3613,36,M,33,FARM LABOURER,John,LAST MAKER,David,4057,1706,WOOL SORTER,James,Sodo,5128,Rossi,4462,,5128, ,S,3796,4462
Harris,4346,,JUNE,B,5336,,5375,Ruth,1946,5375,3947,"1 Rha Bank, Highland",Harris,Andersson,Wozniak,4,,Wozniak,5375,SYNTHETIC DATA PRODUCED USING VALIPOP,"16 Gorse Circle, Heatherknowe, Aberdeenshire",4032,,3947,17,Elizabeth,17,SCHOLAR,George,GENTLEMAN,William,4346,1707,BLACKSMITH,Bjarni,Anderson,5336,Ann,4222,Highland,5336, ,S,4032,4222
Iliev,4304,,JANUARY,B,5392,,5453,Annie,1946,5453,4493,"3 Pairc Uilleim, Highland",Iliev,Morales,Dumitru,7,,Dumitru,5453,SYNTHETIC DATA PRODUCED USING VALIPOP,"734 Golf Course Road, Girvan, South Ayrshire",4538,,4493,16,Dorina,17,SCHOLAR,Malcolm,WOOLLEN WEAVER,Joseph,4304,1708,BASKET MAKER (JOURNEYMAN),Patrick,Prochazka,5392,Margaret,4441,Aberdeenshire,5392,SCHOLAR,S,4538,4441
Krajnc,4474,,JUNE,B,5384,,5419,Nanami,1946,5419,4885,"1 Allanbank, Lauder, Scottish Borders",Krajnc,Santana,Kuznetsov,13,,Kuznetsov,5419,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 The Avenue, Three Bridges, Inveraray",5040,,4885,17,Elizabeth,19,SCHOLAR,Alexander,GROCER,Wm,4474,1709,WEAVER,Tobias,Schmid,5384,Mary,4314,Cellardyke Fife,5384, ,S,5040,4314
Popovic,5866,,AUGUST,B,5382,,5868,Jane,1946,5868,4183,"1 Broomfield Crescent, Corstorphine, City of Edinburgh",Popovic,Balodis,Szabo,31,,Szabo,5868,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Loch Park Road, Target Stables, Hawick",4336,,4183,22,Mary Grace,16,GARDNER,John,CROFTER,Andrea,5866,1710,SILK MERCER,William,WILLIAMS,5382,Christina,5867,South Ayrshire,5382,SCHOLAR,S,4336,5867
Muratovic,5111,,JANUARY,B,5090,,5351,Margaret,1947,5351,3675,"43 Duntaylor Avenue, Aberfeldy, Perth and Kinross",Muratovic,Hansen,WILLIAMS,31,,WILLIAMS,5351,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Greenhead Street, South Ayrshire",3910,,3675,16,Christina,22,SCHOLAR,James,RETIRED GROCER,Wm,5111,1718,PLUMBER & TINSMITH,Bence,Anderson,5090,Sarah,4340,Target Stables Hawick ,5090, ,S,3910,4340
Hernandez,3905,,NOVEMBER,B,5096,,5057,Marion,1947,5057,4225,"1 Home Farm Place, Portree, Highland",Hernandez,Soto,Dumitru,26,,Dumitru,5057,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Ailsa Place, Girvan, South Ayrshire",4132,,4225,26,Louise,25,SPINNER,Robert,AG LAB,George,3905,1720,PLOUGHMAN,William,Larsson,5096,Catherine,4028,Roanheads Peterhead ,5096,COTTON WEAVER,S,4132,4028
Ivanov,5982,,DECEMBER,B,5104,,5984,Sarah,1947,5984,4476,"1 Wester Road, Mount Vernon, Glasgow City",Ivanov,,Krajnc,19,,Krajnc,5984,SYNTHETIC DATA PRODUCED USING VALIPOP,"254 Golf Course Road, Girvan, South Ayrshire",4286,,4476,32,Leonie,24,MINER (IRON),Jorge, ,Joseph,5982,1721, ,Maximilian,Mohamed,5104,Christina,5983,Scottish Borders,5104,DOMESTIC SERVENT,S,4286,5983
Visser,3053,,MAY,B,5106,,4601,Nanami,1947,4601,4885,"122 Kirkhill, Dumfries and Galloway",Visser,Jones,Kuznetsov,12,,Kuznetsov,4601,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 The Avenue, Three Bridges, Inveraray",5040,,4885,37,Catherine,23,BOOT MAKER,Alexander,SHOP PORTER,Will,3053,1722,WEAVER,James,Schmid,5106,Bridget,3616,Girvan South Ayrshire,5106, ,S,5040,3616
Sanchez,1375,,MARCH,B,2444,,2387,Christina,1862,2387,1634,"21 Kildoon Drive, Maybole, South Ayrshire",Sanchez,Perez,Rivera,31,,Rivera,2387,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Millfield Road, Dumfries and Galloway",1600,,1634,26,Sophie,24,PLOUGHMAN,Ethan,FARMER OF 200 ACRES,James,1375,847,L R C EDIN GEN PRACTITIONER,Edgar,GOODWIN,2444,Margaret,1972,Little Richorn Dalbeattie ,2444,GROCER'S SHOP WOMAN,S,1600,1972
Rodriguez,5041,,JULY,B,5562,,5043,Sofie,1947,5043,5558,"1 Scotsburn Place, Barmulloch, Glasgow City",Rodriguez,,Jansen,2,,Jansen,5043,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Langside Court, Kirkfield, Bothwell",5559,,5558,28,Ella,20,AG LABOURER,Alejandro, ,Markus,5041,1723,COTTON WEAVER,Alejandro,Becker,5562,Nina,5042,Kingsmuir Peebles ,5562,SCHOLAR,S,5559,5042
de Boer,4125,,DECEMBER,B,5838,,5347,Ugne,1947,5347,5831,"2 Pairc Uilleim, Highland",de Boer,Prochazka,Andersson,23,,Andersson,5347,SYNTHETIC DATA PRODUCED USING VALIPOP,"97 St Fillans Road, St Mary's, Dundee City",5832,,5831,17,Jane,18,WOOD LABS SCHOLAR,Bence,AG LAB,Joseph,4125,1724, ,Andrew,Hernandez,5838,Nora,4258,Crieff Perth and Kinross,5838, ,S,5832,4258
Tasev,5076,,JULY,B,5308,,5078,Laura,1947,5078,4792,"1 Kinacres Grove, Carriden, Falkirk",Tasev,Smit,Wozniak,2,,Wozniak,5078,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Wilton Dean, Scottish Borders",4689,,4792,34,Laura,17,CARPENTER,Mikel,PENSIONER,Jake,5076,1725,LINEN WEAVER,Daiki,Smith,5308,Emma,5077,North Ayrshire,5308, ,S,4689,5077
Markovic,4757,,JUNE,B,5330,,5307,Jeanie,1947,5307,4021,"1 Jones Street, Fife",Markovic,Bonik,Petrauskas,23,,Petrauskas,5307,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Alma Road, Plantation, Highland",3872,,4021,16,Catherine,16, ,Donald,COOPER,James,4757,1726,CATTLE MAN,Emre,Szabo,5330,Isabella,4492,Aberdeenshire,5330, ,S,3872,4492
Tkachenko,4037,,JUNE,B,5418,,5341,Margaret,1947,5341,4155,"3 Plainfield Terrace, Monksford House, Scottish Borders",Tkachenko,Sanchez,Watanabe,26,,Watanabe,5341,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Plainfield Terrace, Monksford House, Scottish Borders",4262,,4155,22,Jane,20,CARTER,James,MASON,John,4037,1727,TEACHER ENGLISH,Tiago,Smith,5418,Sarah,4094,,5418,SCHOLAR,S,4262,4094
Benjamin,5235,,DECEMBER,W,5416,,5237,Marie,1947,5237,4117,"1 Cleddans Road, Radnor Park, West Dunbartonshire",Dang,Smid,Larsson,22,,Larsson,5237,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Heatherfield Post Office Road, Portree, Highland",4440,,4117,23,Sofie,16,HOUSE CARPENTER,W,FARMER,Dang,5235,1728,RETIRED MERCHT,Alexander,Morales,5416,Kate,5236,Masterton Dunfermline ,5416,SCHOLAR,S,4440,5236
Krajnc,4477,,DECEMBER,B,5836,,5135,Ugne,1947,5135,5831,"100 Seton Place, Dalgety Bay, Fife",Krajnc,Visser,Andersson,19,,Andersson,5135,SYNTHETIC DATA PRODUCED USING VALIPOP,"97 St Fillans Road, St Mary's, Dundee City",5832,,5831,24,Mary,16,COTTON WEAVER,Bence,TAILOR,Hugh,4477,1729, ,Vytautas,Hernandez,5836,Sara,4006,Cadder Bishopbriggs ,5836,RECOR IN A WOOLLEN FACTORY,S,5832,4006
Mohamed,4059,,MAY,B,5212,,5198,Helen,1948,5198,4365,"1 Meikleholm, Langholm, Dumfries and Galloway",Mohamed,Harris,Kobayashi,4,,Kobayashi,5198,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Braehouse, Scottish Borders",4334,,4365,21,Irena,21,IRON MOULDER AP,John,LAB,James,4059,1733,MASON,Andrew,Bonik,5212,Agnes,4347,South Ayrshire,5212,DAIRY MAID,S,4334,4347
Martinez,5470,,NOVEMBER,B,5210,,5474,Marie,1948,5474,4117,"99 Anchor Crescent, Seedhill, Paisley",Martinez,Guo,Larsson,10,,Larsson,5474,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Heatherfield Post Office Road, Portree, Highland",4440,,4117,25,Irena,23,PATTERN MAKER (ENGINE),William,STEAMBOAT MASTER,Bence,5470,1734,RETIRED MERCHT,Jon,Morales,5210,Mary,5471,Allanbank Lauder ,5210,COTTON MILL WORKER,S,4440,5471
Tim,5356,D,DECEMBER,B,5294,,5358,Jones,1948,5358,4311,"1 Dee Terrace, Little Earnock, South Lanarkshire",Gauthier,Dimitrov,Sodo,12,,Soto,5358,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Burial Brae, Anstruther Easter, Anstruther",4196,,4311,25,Anna,21,CARTER,George,IRON DRESSER,Gauthier,5356,1735,LABOURER,Aaron,Annie,5294,Jane,5357,Braehouse Scottish Borders,5294, ,missing,4196,5357
Delic,1489,,MAY,B,2450,,2383,Mary,1862,2383,1480,"1 Milton Wynd, South Ayrshire",Delic,Popa,Thill,2,,Thill,2383,SYNTHETIC DATA PRODUCED USING VALIPOP,"21 The Orchard, Allanbank, Lauder",1796,,1480,26,Ann,24,SHEPHERD,John,PLOUGHMAN,William,1489,848,CARTER,Donald,Martinez,2450,Anne,1554,Butterhall Scottish Borders,2450,COTTON WEAVER,S,1796,1554
Larsson,3845,,OCTOBER,B,5561,,5011,Sofie,1948,5011,5558,"1 Mallard Road, Aberdeenshire",Larsson,Martinez,Jansen,4,,Jansen,5011,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Langside Court, Kirkfield, Bothwell",5559,,5558,27,Eva,19,UPHOLSTERER,Alejandro,CARTER,John,3845,1736,COTTON WEAVER,David,Becker,5561,Laura,3659,The Lees Coldstream ,5561,LINEN SPINER,S,5559,3659
Wozniak,3947,,SEPTEMBER,B,6069,,5201,Mary Anne,1948,5201,6062,"16 Gorse Circle, Heatherknowe, Aberdeenshire",Wozniak,Anderson,Rossi,10,,Rossi,5201,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Broadsea, Fraserburgh, Aberdeenshire",6063,,6062,22,Ruth,16,PLOUGHMAN,Victor,FARMER OF 672 ACRES,John,3947,1737, ,George,Martinez,6069,Lisandra,4032,Highland,6069, ,S,6063,4032
Visser,4289,,SEPTEMBER,B,5452,,5337,Lea,1948,5337,5187,"1 Carronhall Drive, Baillieston, Glasgow City",Visser,Johnson,De Vries,10,,De Vries,5337,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Farnell Way, Bellyeoman, Dunfermline",5188,,5187,19,Chiara,16,SCHOLAR,Juho,PLOWMAN,Adam,4289,1738,STONE BREAKER,Alexr,Davis,5452,Charlotte,5118,Heugh Scottish Borders,5452,SCHOLAR,S,5188,5118
Hernandez,3933,,FEBRUARY,B,5436,,5199,Laura,1949,5199,5432,"1 Big Sand Road, Highland",Hernandez,Kiss,Savic,10,,Savic,5199,SYNTHETIC DATA PRODUCED USING VALIPOP,"480 Braal Castle Road, Caithness",5433,,5432,20,Catherine,22,JOINER,Peter,LABOURER AGRICULT,Thomas,3933,1746,FARMER OF 80 ACRES,Thomas,de Boer,5436,Michela,3944,Na h-Eileanan Siar,5436,DRESSMAKER,S,5433,3944
Brown,3497,,APRIL,B,5208,,4425,Annie,1949,4425,4311,"1 Calfward Park, Allanbank, Lauder",Brown,Iliev,Soto,23,,Soto,4425,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Burial Brae, Anstruther Easter, Anstruther",4196,,4311,45,Noemie,23,SEAMAN,George,LABOURER,James,3497,1747,LABOURER,John,Jones,5208,Jane,4305,Clackmannanshire,5208,MUSLIN VEINER,S,4196,4305
